No,IA_ID,Interface_Aspect,Screen/Component,Checklist_Item,Origin,Why_AI_Missed_This(if Human-added),Expected_Result,Status,Notes_if_Failed,Bug_ID
1,IA-01,General UI,Global (all web pages),All screens use a consistent primary action color for the main call-to-action button,AI,,Primary buttons (Sign In / Add to cart / Checkout) share one consistent brand color,Passed,,
2,IA-01,General UI,Global (all web pages),Page/section headings use a consistent font-weight and size hierarchy (h1 > h2 > h3),AI,,Heading sizes follow a visual hierarchy across pages,Passed,,
3,IA-01,General UI,Login page,Page heading text matches the page's actual function,AI,,"Login page heading should read ""Đăng Nhập"" (Login)",Failed,"Opened the Login page directly (not via a link from Register) - the page heading reads ""Đăng Ký"" (Register), the wrong heading for this screen.",BUG-01
4,IA-01,General UI,Global (all web pages),"Cards (product cards, form panels) use a consistent border/shadow/corner-radius style",AI,,All card-style containers should share the same visual treatment,Passed,,
5,IA-01,General UI,Global header/footer,"Header brand logo links back to Home from every page, and the footer text is identical on every page",AI,,Clicking the brand name from any page returns to Home; footer copy never changes,Passed,,
6,IA-01,General UI,Home,Product grid reflows into fewer columns on a narrower browser window,AI,,"Grid should show 3 columns on desktop, fewer on tablet/mobile widths",Passed,,
7,IA-01,General UI,Global (web app only),App favicon and browser tab title are set and consistent across pages,AI,,A recognizable favicon/title should appear in the browser tab on every page,Passed,,
8,IA-01,General UI,Global (all web pages),Interactive elements show a visible hover/focus state,AI,,Buttons/links should have a hover style,Passed,,
9,IA-01,General UI,Global (all web pages),Disabled buttons are visually distinct (reduced opacity/greyed) from enabled buttons,AI,,Disabled state should be visually obvious,Passed,,
10,IA-01,General UI,Register,Submit button color follows the same primary/brand color as the rest of the app,AI,,Register's submit button should match the app's primary action color,Passed,,
11,IA-02,Forms,Login,Password fields mask the entered characters,AI,,"Password input must display dots/asterisks, not the typed characters",Failed,"Typed a password into the Login form's password field - every character appeared as plain, readable text instead of being masked.",BUG-11
12,IA-02,Forms,ForgotPassword step 2,OTP field label matches the actual length/format of the code the user receives,Human,"Catching this requires actually running the ""forgot password"" flow and comparing the code that comes back on screen against the field's own label - a pure UI-copy read-through has no code to compare against until the flow is executed.",OTP input label should match the length of the code actually shown to the user,Failed,"Ran the Forgot Password flow: requesting a reset code displayed a 6-digit code on screen, but the input field right below it is labeled ""Mã OTP (4 số)"" (4-digit code) - the label tells the user to expect a different length than what they were just given.",BUG-13
13,IA-02,Forms,Checkout (web),"Order total is a read-only, computed value rather than a free-text editable field",AI,,Total amount shown at checkout should not be directly editable by the shopper,Failed,"On the Checkout page, clicked into the ""Tổng tiền thanh toán"" total field and was able to freely type over it, changing the amount to any number before confirming payment - the figure meant to represent a trusted, computed total is presented as an ordinary editable input.",BUG-14
14,IA-02,Forms,ProductDetail - Quantity input,Quantity input rejects zero/negative values,AI,,Quantity field should enforce a minimum of 1,Failed,"On a Product Detail page, cleared the quantity field and typed ""0"" (and separately ""-1""), then pressed Add to cart - the field accepted the value with no warning and let the action proceed.",BUG-15
15,IA-02,Forms,Home - Search box,"User-supplied search text is rendered as plain text, not executed as HTML",Human,Confirming this requires actually typing an HTML/script payload into the search box and watching whether it renders as text or executes - a visual-only usability pass typing normal search terms would never trigger this.,Entering an HTML/script payload in the search box should display it as literal text,Failed,"Entered <img src=x onerror=alert(1)> into the Home search box and submitted - a JavaScript alert box popped up on the results page instead of the text being shown literally, confirming the search query is injected as raw HTML.",BUG-19
16,IA-02,Forms,Register,"Required fields (Name, Email, Password) are enforced before the form can submit",AI,,Submitting with any required field empty should be blocked with feedback,Passed,,
17,IA-02,Forms,Profile - Email field,"Read-only fields are visually marked as non-editable (grey background, disabled cursor)",AI,,Disabled inputs should look clearly non-interactive,Passed,,
18,IA-02,Forms,Register,"Password requirement hint text is visible before the user submits, not only after an error",AI,,Password rules should be shown proactively near the field,Passed,,
19,IA-02,Forms,Profile,Phone number field gives an inline format example before submission,AI,,Placeholder/hint should show expected phone format,Passed,,
20,IA-02,Forms,Checkout - Coupon code input,Coupon code input auto-uppercases consistently as the user types,AI,,Coupon code should visually uppercase as typed,Passed,,
21,IA-02,Forms,ForgotPassword step 1,"Email field is required before the ""Lấy mã OTP"" button can proceed",AI,,Submitting with an empty email should be blocked,Passed,,
22,IA-02,Forms,Login / Register / ForgotPassword,"Forms submit correctly when pressing Enter, not only by clicking the submit button",AI,,Pressing Enter inside any text field should submit the form,Passed,,
23,IA-03,Navigation,Global header,"Primary navigation is present and consistent on every page (logo/home link, cart, auth links)",AI,,Header nav should appear unchanged across all routes,Passed,,
24,IA-03,Navigation,Cart page,"""Continue shopping"" and ""back"" links return the user to a sensible previous context",AI,,Back/continue links should navigate to Home or previous logical page,Passed,,
25,IA-03,Navigation,ForgotPassword,Users can navigate back from step 2 (OTP) to step 1 (email) without losing entered progress unexpectedly,AI,,Back button should return to step 1 cleanly,Passed,,
26,IA-03,Navigation,Register / Login,Register and Login pages each have a working link to switch to the other,AI,,"""Already have an account? / Don't have an account?"" links should navigate correctly",Passed,,
27,IA-03,Navigation,Login,"The ""Forgot password?"" link on the Login page navigates to the Forgot Password flow",AI,,Clicking the link should open the Forgot Password page,Passed,,
28,IA-03,Navigation,Checkout without login,Attempting checkout while logged out redirects to login with a clear message and returns the user to checkout after login,AI,,User should land back on Checkout (not Home) immediately after logging in,Failed,"While logged out, added an item to the cart and clicked Checkout - got an alert prompting login and was redirected to the Login page as expected, but after successfully logging in the app landed on the Home page instead of returning to Checkout, so the cart flow had to be resumed manually.",BUG-24
29,IA-03,Navigation,Cart → Checkout,Cart page shows the running total before the user proceeds to Checkout,AI,,Subtotal should be visible on the Cart page prior to checkout,Passed,,
