"Item ID","FR ID","Interface Aspect (IA)","Screen","Test Item Description","Preconditions","Expected Result","Actual Result","Status","Environment","Bug ID","Origin","AI Critique / Reason Missed","Notes","Evidence Reference"
"CHK-GUI-001","FR-07","IA-01 General UI","Web Cart","Check Web Cart table columns alignment, currency formatting (X,XXX ₫), and total summary display","Cart contains items","Table displays Product, Price, Quantity, Subtotal, Actions with currency formatted in ₫","Cart rendered 5 columns (Sản phẩm, Giá, Số lượng, Thành tiền, Thao tác) and displayed the formatted total.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Standard static UI layout correctly recognized by AI model during visual DOM inspection.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-002","FR-07","IA-01 General UI","Web Product Detail","Verify Web Product Detail adds the selected product on the first CTA activation","Product 1 detail is loaded and the cart is empty","The first activation of 'Thêm vào giỏ hàng' immediately adds one unit to cart state","After one activation, the cart remained empty; a second activation was required.","Failed","Google Chrome 151 / Windows 11","BUG-001","Human-added","The initial AI checklist treated the visible onClick binding as sufficient and did not challenge the hidden click counter with a first-action runtime check.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; first activation did not add the product.","bugs/evidence_images/bug_001_first_click_cart_empty.png"
"CHK-GUI-003","FR-07","IA-02 Forms & Validation","Web Cart","Validate rejection of a negative product quantity","Product Detail is loaded and the cart is empty","Entering -5 is rejected with corrective feedback and no cart item is created","The product was added with quantity -5 and the cart displayed a -150,000,000 ₫ subtotal.","Failed","Google Chrome 151 / Windows 11","BUG-002","Human-added","The initial AI checklist did not apply a negative boundary because the numeric control looked constrained despite having no effective minimum validation.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; test quantity -5.","bugs/evidence_images/bug_002_negative_quantity.png"
"CHK-GUI-004","FR-07","IA-02 Forms & Validation","Web Cart","Validate rejection of a decimal product quantity","Product Detail is loaded and the cart is empty","Entering 2.5 is rejected with feedback that quantity must be an integer","Entering 2.5 produced cart quantity 2 without any validation message.","Failed","Google Chrome 151 / Windows 11","BUG-003","Human-added","The initial AI checklist did not test silent numeric coercion; parseInt converts 2.5 without raising an error, so the defect appears only with a decimal boundary.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; test quantity 2.5.","bugs/evidence_images/bug_003_decimal_quantity_truncated.png"
"CHK-GUI-005","FR-07","IA-02 Forms & Validation","Web Checkout","Verify the authoritative Checkout total cannot be edited by the customer","An authenticated customer has cart items and opens /checkout","The calculated payment total is read-only or rendered as non-editable text","The total was rendered in an editable number input and accepted manual changes.","Failed","Google Chrome 151 / Windows 11","BUG-006","Human-added","The initial AI checklist focused on visual total formatting and missed the trust-boundary risk because the editable field was styled like a summary value.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; displayed total 30,000,000 ₫.","bugs/evidence_images/bug_006_editable_checkout_total.png"
"CHK-GUI-006","FR-07","IA-03 Navigation","Web Cart","Verify Web Cart '← Mua tiếp' and 'Tiến hành thanh toán' navigation links","User in Cart view with items","'← Mua tiếp' redirects to /; 'Tiến hành thanh toán' opens /checkout","Continue shopping links to the product list and the checkout control is available.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Standard React Router <Link> and navigate() routes parsed accurately by AI.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-007","FR-07","IA-03 Navigation","Web Checkout","Verify Web Checkout unauthenticated user access redirection","Unauthenticated user clicks Checkout","Triggers login modal/alert and redirects to /login","Unauthenticated checkout displayed “Bạn cần đăng nhập để thanh toán!” and redirected to /login.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Authentication check logic correctly mapped from auth context.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-008","FR-07","IA-04 Feedback & State","Web Cart","Verify Web Cart empty state display when cart is cleared","Cart emptied","Displays 'Giỏ hàng của bạn đang trống' with CTA button 'Tiếp tục mua sắm'","The empty-cart message and continue-shopping link were displayed after removing the item.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Empty state conditionally rendered when cart.length === 0.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-009","FR-07","IA-04 Feedback & State","Web Cart / Checkout","Verify successful checkout clears purchased cart state","An authenticated customer completes checkout with one cart item","React state, localStorage, and the header badge no longer contain the purchased item","The purchased item remained in the cart after checkout completed.","Failed","Google Chrome 151 / Windows 11","BUG-007","Human-added","The initial AI checklist stopped at the success destination and did not verify persisted cart state after the transaction.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; one iPhone 15 Pro Max was purchased.","bugs/evidence_images/bug_007_cart_retained_after_checkout.png"
"CHK-GUI-010","FR-23","IA-01 General UI","Mobile Product Detail","Verify Mobile Product Detail name, price, description, and overall layout","A product detail is loaded in the Mobile app","Product name, formatted price, description, and controls are readable and arranged without overlap","The authentic Mobile capture shows the iPhone 15 Pro Max name, formatted price, description, quantity input, and Add to Cart CTA without overlap.","Passed","Expo Go / iPhone capture, 1284x2778","N/A","Hybrid","Runtime evidence confirms the visible Product Detail content and layout.","Executed on Mobile; screenshot needs the PDF-required identity overlay before final submission.","cross_platform/mobile_real_device/mobile_01_product_detail.png"
"CHK-GUI-011","FR-23","IA-02 Forms & Validation","Mobile Product Detail","Verify a positive integer quantity is added in the requested amount","Mobile Product Detail is loaded and quantity is a positive integer N","Tapping Add to Cart adds exactly N units of the selected product","After adding quantity 1, the Mobile cart shows one iPhone 15 Pro Max with quantity 1, matching the requested amount.","Passed","Expo Go / iPhone capture, 1284x2778","N/A","Hybrid","The cart capture confirms the positive quantity persisted correctly.","Executed on Mobile; screenshot needs the PDF-required identity overlay before final submission.","cross_platform/mobile_real_device/mobile_02_valid_quantity_add.png"
"CHK-GUI-012","FR-23","IA-02 Forms & Validation","Mobile Product Detail","Verify quantity 0 does not create an unintended cart item","FR-23 Mobile Product Detail is loaded","Entering 0 is rejected and no product is added to the cart","The before capture shows quantity 0; the after capture shows a success alert and 'Đã thêm', so the invalid value was accepted.","Failed","Expo Go / iPhone capture, 1284×2778","BUG-022","Human-added","The initial AI checklist emphasized the positive add path and did not apply the zero boundary to the Mobile quantity normalizer.","Observed in the supplied Mobile before/after capture pair; exact device metadata and the required identity overlay remain to be supplied.","cross_platform/mobile_real_device/mobile_03_invalid_quantity_before.png; cross_platform/mobile_real_device/mobile_04_invalid_quantity_after.png"
"CHK-GUI-013","FR-23","IA-04 Feedback & State","Mobile Product Detail","Verify the primary Add to Cart CTA is visually identifiable","FR-23 Mobile Product Detail is fully loaded","A clearly labeled primary CTA is visible and distinguishable from surrounding content","The full-screen Mobile capture shows a prominent green 'Thêm vào giỏ hàng' CTA below the quantity field.","Passed","Expo Go / iPhone capture, 1284×2778","N/A","AI","The AI-generated visual hierarchy check was retained and confirmed against the supplied runtime capture.","Observed in the supplied Mobile Product Detail capture; exact device metadata and the required identity overlay remain to be supplied.","cross_platform/mobile_real_device/mobile_01_product_detail.png"
"CHK-GUI-014","FR-10","IA-01 General UI","Order Lifecycle","Check initial order status badge rendering upon successful order placement","Order created","Status badge displays 'Chờ xác nhận' (pending) with yellow status highlight","A newly created order displayed “Chờ xác nhận” with the pending badge style.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Default initial state pending verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-015","FR-10","IA-04 Feedback & State","Order Lifecycle","Verify valid state transition sequence: pending -> confirmed -> shipping -> delivered","Admin user logged in","Transitions execute sequentially; status updates on UI with appropriate colors","The API accepted the valid sequence confirmed → shipping → delivered.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Happy path state machine transitions operating as designed.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-016","FR-10","IA-04 Feedback & State","Order Lifecycle","Validate customer cancellation is rejected after an order enters shipping","The authenticated customer owns an order in shipping state","Cancellation is rejected and the order remains in shipping state","The cancellation request returned HTTP 200 and the shipping order became canceled.","Failed","Google Chrome 151 / Windows 11","BUG-010","Human-added","The initial AI happy-path state model did not challenge cancellation after fulfillment had begun; human review added the shipping boundary transition.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; shipping test order.","bugs/evidence_images/bug_010_shipping_order_canceled.png"
